name,rate,votes,location,cuisines,approx_cost(for two people)
Jalsa,4.1/5,775,Banashankari,"North Indian, Mughlai, Chinese",800
Spice Elephant,4.1/5,787,Banashankari,"Chinese, North Indian, Thai",800
San Churro Cafe,3.8/5,918,Banashankari,"Cafe, Mexican, Italian",800
Addhuri Udupi Bhojana,3.7/5,88,Banashankari,"South Indian, North Indian",300
Grand Village,3.8/5,166,Basavanagudi,"North Indian, Rajasthani",600
Timepass Dinner,3.8/5,286,Basavanagudi,North Indian,600
Rosewood International Hotel - Bar & Restaurant,3.6/5,8,Mysore Road,"North Indian, South Indian, Andhra, Chinese",800
Onesta,4.6/5,2556,Banashankari,"Pizza, Cafe, Italian",600
Penthouse Cafe,4.0/5,324,Banashankari,"Cafe, Italian, Continental",700
Smacznego,4.2/5,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1/5,402,Banashankari,Cafe,500
Cafe Shuffle,4.2/5,150,Banashankari,"Cafe, Italian, Continental",600
The Coffee Shack,4.2/5,164,Banashankari,"Cafe, Chinese, Continental, Italian",500
Caf-Eleven,4.0/5,424,Banashankari,"Cafe, Continental",450
San Churro Cafe,3.8/5,918,Banashankari,"Cafe, Mexican, Italian",800
Cafe Vivacity,3.8/5,90,Banashankari,Cafe,650
Catch-up-ino,3.9/5,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800
Kirthi's Biryani,3.8/5,144,Banashankari,"Chinese, Cafe, Italian",700
T3H Cafe,3.9/5,93,Banashankari,"Cafe, Italian, American",300
360 Atoms Restaurant And Cafe,3.1/5,13,Banashankari,"Cafe, Chinese, Continental, Italian",400
The Vintage Cafe,3.0/5,62,Banashankari,"Cafe, French, North Indian",400
Woodee Pizza,3.7/5,180,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500
Cafe Coffee Day,3.6/5,28,Banashankari,"Cafe, Fast Food",900
My Tea House,3.6/5,62,Banashankari,"Italian, Fast Food, Cafe, European",600
Hide Out Cafe,3.7/5,31,Banashankari,Cafe,300
CAFE NOVA,3.2/5,11,Banashankari,"Cafe, Bakery",600
Coffee Tindi,3.8/5,75,Banashankari,"Cafe, South Indian",200
Sea Green Cafe,3.3/5,4,Banashankari,"Cafe, Fast Food, Beverages",500
Cuppa,3.3/5,23,Banashankari,"Cafe, Fast Food",550
Srinathji's Cafe,3.8/5,148,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550
Redberrys,4.0/5,219,Basavanagudi,"Cafe, Italian",600
Foodiction,2.8/5,506,Banashankari,"North Indian, Fast Food, Chinese, Burger",500
Sweet Truth,3.9/5,35,Banashankari,"Bakery, Desserts",500
Ovenstory Pizza,3.9/5,172,Banashankari,Pizza,750
Faasos,4.2/5,415,Banashankari,"North Indian, Biryani, Fast Food",500
Behrouz Biryani,3.9/5,230,Banashankari,Biryani,650
Fast And Fresh,2.8/5,91,Banashankari,"North Indian, Chinese, Fast Food",400
Szechuan Dragon,4.2/5,1647,Banashankari,"Chinese, Thai, Momos",600
Empire Restaurant,4.4/5,4884,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750
Maruthi Davangere Benne Dosa,4.0/5,17,Banashankari,South Indian,150
Chaatimes,3.8/5,133,Basavanagudi,"Street Food, Fast Food",200
Havyaka Mess,3.9/5,28,Banashankari,South Indian,300
McDonald's,3.9/5,286,Banashankari,"Burger, Fast Food",500
Domino's Pizza,3.9/5,540,Banashankari,"Pizza, Fast Food",800
Onesta,4.6/5,2556,Banashankari,"Pizza, Cafe, Italian",600
Hotboxit,3.8/5,36,Banashankari,"North Indian, Continental, Italian",400
Kitchen Garden,3.6/5,244,Kumaraswamy Layout,"North Indian, Chinese",300
Recipe,4.0/5,804,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",450
Beijing Bites,3.7/5,679,Rajarajeshwari Nagar,"Chinese, Thai",850
Tasty Bytes,3.1/5,245,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",300
Petoo,3.7/5,21,Banashankari,North Indian,450
Shree Cool Point,4.1/5,28,Vijay Nagar,"Fast Food, Street Food, Beverages",150
Corner House Ice Cream,4.3/5,345,Banashankari,"Ice Cream, Desserts",400
Biryanis And More,4.0/5,618,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",750
Roving Feast,4.0/5,1047,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",450
FreshMenu,3.9/5,627,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450
Banashankari Donne Biriyani,3.8/5,104,Banashankari,"Biryani, Fast Food",300
Wamama,4.2/5,354,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800
Five Star Chicken,3.6/5,55,Banashankari,"Fast Food, Burger",200
XO Belgian Waffle,3.7/5,17,Banashankari,"Desserts, Beverages",400
Peppy Peppers,4.2/5,244,Banashankari,"Italian, North Indian, Mexican",800
Goa 0 Km,3.6/5,163,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",800
Chinese Kitchen,3.8/5,58,Basavanagudi,Chinese,150
1947,4.0/5,808,Banashankari,"North Indian, Chinese",850
Cake of the Day,3.7/5,78,Banashankari,Bakery,150
Kabab Magic,4.1/5,1720,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",400
Namma Brahmin's Idli,3.6/5,34,Jayanagar,South Indian,100
Gustoes Beer House,4.1/5,868,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200"
Sugar Rush,3.8/5,39,Banashankari,"Bakery, Desserts",300
Burger King,3.2/5,71,Basavanagudi,"Burger, Fast Food, Beverages",600
The Good Bowl,3.6/5,6,Banashankari,"Italian, North Indian, Biryani",500
The Biryani Cafe,4.1/5,520,Banashankari,"Biryani, Chinese, Kebab",300
Spicy Tandoor,NEW,0,Banashankari,North Indian,150
LSD Cafe,2.9/5,84,Banashankari,"Chinese, Continental, Italian, North Indian",700
Rolls On Wheels,3.6/5,299,Banashankari,"Fast Food, Rolls, Momos",300
